Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,30893,30659,54825,57851,60239,539,61070,0.000%,16.15848,47.43,5.24
TOTAL,1000,30893,30659,54825,57851,60239,539,61070,0.000%,16.15848,47.43,5.24
